name,friendly_name,year,category,difficulty,description
the-soviet-union-begins-mass-deportations-of-polis,The Soviet Union begins mass deportations of Polish,1940,cultural,medium,The Soviet Union begins mass deportations of Polish citizens from occupied eastern Poland to Siberia.
world-war-ii-altmark-incident-the-german-tanker,World War II: Altmark incident: The German tanker Altmark,1940,conflict,easy,World War II: Altmark incident: The German tanker Altmark is boarded by sailors from the British destroyer HMS Cossack. A total of 299 British prisoners are freed.
martin-kamen-and-sam-ruben-discover-carbon-14,Martin Kamen and Sam Ruben discover carbon-14.,1940,exploration,medium,Martin Kamen and Sam Ruben discover carbon-14.
finland-initiates-winter-war-peace-negotiations,Finland initiates Winter War peace negotiations.,1940,diplomatic,medium,Finland initiates Winter War peace negotiations.
in-a-ceremony-held-in-berkeley-california-physic,"In a ceremony held in Berkeley, California, physicist",1940,cultural,medium,"In a ceremony held in Berkeley, California, physicist Ernest Lawrence receives the 1939 Nobel Prize in Physics from Sweden's consul general in San Francisco."
the-declaration-by-united-nations-is-signed-by-twe,The Declaration by United Nations is signed by twenty-six,1942,diplomatic,medium,The Declaration by United Nations is signed by twenty-six nations.
the-federal-bureau-of-investigation-fbi-obtains,The Federal Bureau of Investigation (FBI) obtains the,1942,cultural,medium,The Federal Bureau of Investigation (FBI) obtains the conviction of 33 members of a German spy ring headed by Fritz Joubert Duquesne in the largest espionage case in United States history—the Duquesne Spy Ring.
world-war-ii-manila-is-captured-by-japanese-force,"World War II: Manila is captured by Japanese forces,",1942,conflict,easy,"World War II: Manila is captured by Japanese forces, enabling them to control the Philippines."
world-war-ii-united-states-president-franklin-d,World War II: United States President Franklin D. Roosevelt,1942,conflict,easy,World War II: United States President Franklin D. Roosevelt creates the National War Labor Board.
henry-ford-patents-a-soybean-car-which-is-30-lig,"Henry Ford patents a soybean car, which is 30% lighter than",1942,infrastructure,medium,"Henry Ford patents a soybean car, which is 30% lighter than a regular car."
world-war-ii-first-use-of-an-aircraft-ejection-se,World War II: First use of an aircraft ejection seat by a,1942,conflict,easy,World War II: First use of an aircraft ejection seat by a German test pilot in a Heinkel He 280 jet fighter.
the-holocaust-nazi-germany-begins-deporting-jews,The Holocaust: Nazi Germany begins deporting Jews from the,1942,cultural,medium,The Holocaust: Nazi Germany begins deporting Jews from the Łódź Ghetto to Chełmno extermination camp.
crash-of-twa-flight-3-killing-all-22-aboard-incl,"Crash of TWA Flight 3, killing all 22 aboard, including",1942,disasters,medium,"Crash of TWA Flight 3, killing all 22 aboard, including film star Carole Lombard."
world-war-ii-us-flying-ace-major-greg-pappy-boy,"World War II: US flying ace Major Greg ""Pappy"" Boyington is",1944,conflict,easy,"World War II: US flying ace Major Greg ""Pappy"" Boyington is shot down in his Vought F4U Corsair by Captain Masajiro Kawato flying a Mitsubishi A6M Zero."
world-war-ii-operation-carpetbagger-involving-th,"World War II: Operation Carpetbagger, involving the",1944,conflict,easy,"World War II: Operation Carpetbagger, involving the dropping of arms and supplies to resistance fighters in Europe, begins."
the-daily-mail-becomes-the-first-major-london-news,The Daily Mail becomes the first major London newspaper to,1944,exploration,medium,The Daily Mail becomes the first major London newspaper to be published on both sides of the Atlantic Ocean.
world-war-ii-allied-forces-launch-the-first-of-fo,World War II: Allied forces launch the first of four,1944,conflict,easy,"World War II: Allied forces launch the first of four assaults on Monte Cassino with the intention of breaking through the Winter Line and seizing Rome, an effort that would ultimately take four months and cost 105,000 Allied casualties."
world-war-ii-the-allies-commence-operation-shingl,"World War II: The Allies commence Operation Shingle, an",1944,conflict,easy,"World War II: The Allies commence Operation Shingle, an assault on Anzio and Nettuno, Italy."
world-war-ii-the-900-day-siege-of-leningrad-is-li,World War II: The 900-day Siege of Leningrad is lifted.,1944,conflict,easy,World War II: The 900-day Siege of Leningrad is lifted.
world-war-ii-approximately-38-people-are-killed-a,World War II: Approximately 38 people are killed and about,1944,conflict,easy,"World War II: Approximately 38 people are killed and about a dozen injured when the Polish village of Koniuchy (present-day Kaniūkai, Lithuania) is attacked by Soviet partisan units."
in-bologna-italy-the-anatomical-theatre-of-the-a,"In Bologna, Italy, the Anatomical theatre of the",1944,conflict,easy,"In Bologna, Italy, the Anatomical theatre of the Archiginnasio is completely destroyed in an air-raid, during the Second World War."
world-war-ii-american-forces-land-on-kwajalein-at,World War II: American forces land on Kwajalein Atoll and,1944,conflict,easy,World War II: American forces land on Kwajalein Atoll and other islands in the Japanese-held Marshall Islands.
popular-canadian-american-jockey-george-woolf-dies,Popular Canadian American jockey George Woolf dies in a,1946,conflict,medium,Popular Canadian American jockey George Woolf dies in a freak accident during a race; the annual George Woolf Memorial Jockey Award is created to honor him.
the-first-general-election-ever-in-vietnam-is-held,The first general election ever in Vietnam is held.,1946,exploration,medium,The first general election ever in Vietnam is held.
andrei-zhdanov-chairman-of-the-finnish-allied-com,"Andrei Zhdanov, Chairman of the Finnish Allied Commission,",1946,conflict,medium,"Andrei Zhdanov, Chairman of the Finnish Allied Commission, submitted to the Finnish War Criminal Court an interrogation report by General Erich Buschenhagen, a German prisoner of war, on the contacts between Finnish and German military personnel before the Continuation War and a copy of Hitler's Barbarossa plan."
the-first-general-assembly-of-the-united-nations-a,The first General Assembly of the United Nations assembles,1946,diplomatic,medium,"The first General Assembly of the United Nations assembles in the Methodist Central Hall, Westminster. Fifty-one nations are represented."
the-united-states-army-signal-corps-successfully-c,The United States Army Signal Corps successfully conducts,1946,conflict,medium,"The United States Army Signal Corps successfully conducts Project Diana, bouncing radio waves off the Moon and receiving the reflected signals."
enver-hoxha-secretary-general-of-the-communist-pa,"Enver Hoxha, Secretary General of the Communist Party of",1946,cultural,medium,"Enver Hoxha, Secretary General of the Communist Party of Albania, declares the People's Republic of Albania with himself as head of state."
the-un-security-council-holds-its-first-session,The UN Security Council holds its first session.,1946,exploration,medium,The UN Security Council holds its first session.
general-douglas-macarthur-establishes-the-internat,General Douglas MacArthur establishes the International,1946,conflict,medium,General Douglas MacArthur establishes the International Military Tribunal for the Far East in Tokyo to try Japanese war criminals.
in-iran-qazi-muhammad-declares-the-independent-pe,"In Iran, Qazi Muhammad declares the independent people's",1946,diplomatic,medium,"In Iran, Qazi Muhammad declares the independent people's Republic of Mahabad at Chahar Cheragh Square in the Kurdish city of Mahabad; he becomes the new president and Haji Baba Sheikh becomes the prime minister."
creation-of-the-central-intelligence-group-foreru,"Creation of the Central Intelligence Group, forerunner of",1946,cultural,medium,"Creation of the Central Intelligence Group, forerunner of the Central Intelligence Agency."
the-british-railway-network-is-nationalized-to-for,The British railway network is nationalized to form British,1948,infrastructure,medium,The British railway network is nationalized to form British Railways.
burma-gains-its-independence-from-the-united-kingd,Burma gains its independence from the United Kingdom,1948,diplomatic,medium,"Burma gains its independence from the United Kingdom becoming an independent republic, named the Union of Burma, with Sao Shwe Thaik as its first President and U Nu its first Prime Minister."
kentucky-air-national-guard-pilot-thomas-mantell-c,Kentucky Air National Guard pilot Thomas Mantell crashes,1948,disasters,medium,Kentucky Air National Guard pilot Thomas Mantell crashes while in pursuit of a supposed UFO.
the-renville-agreement-between-the-netherlands-and,The Renville Agreement between the Netherlands and,1948,diplomatic,medium,The Renville Agreement between the Netherlands and Indonesia is ratified.
the-flag-of-quebec-is-adopted-and-flown-for-the-fi,The Flag of Quebec is adopted and flown for the first time,1948,exploration,medium,The Flag of Quebec is adopted and flown for the first time over the National Assembly of Quebec. The day is marked annually as Québec Flag Day.
british-south-american-airways-tudor-iv-star-tige,British South American Airways' Tudor IV Star Tiger,1948,cultural,medium,British South American Airways' Tudor IV Star Tiger disappears over the Bermuda Triangle.
following-the-assassination-of-mahatma-gandhi-in-h,Following the assassination of Mahatma Gandhi in his home,1948,conflict,medium,"Following the assassination of Mahatma Gandhi in his home compound, India's prime minister, Jawaharlal Nehru, broadcasts to the nation, saying ""The light has gone out of our lives"". The date of the assassination becomes observed as ""Martyrs' Day"" in India."
ceylon-later-renamed-sri-lanka-becomes-independe,Ceylon (later renamed Sri Lanka) becomes independent within,1948,cultural,medium,Ceylon (later renamed Sri Lanka) becomes independent within the British Commonwealth.
the-conference-of-youth-and-students-of-southeast,The Conference of Youth and Students of Southeast Asia,1948,diplomatic,medium,The Conference of Youth and Students of Southeast Asia Fighting for Freedom and Independence convenes in Calcutta.
nascar-is-incorporated,NASCAR is incorporated.,1948,cultural,medium,NASCAR is incorporated.
in-the-sverdlovsk-air-disaster-all-19-of-those-on,"In the Sverdlovsk air disaster, all 19 of those on board",1950,disasters,medium,"In the Sverdlovsk air disaster, all 19 of those on board are killed, including almost the entire national ice hockey team (VVS Moscow) of the Soviet Air Force - 11 players, as well as a team doctor and a masseur."
british-submarine-hms-truculent-collides-with-an-o,British submarine HMS Truculent collides with an oil tanker,1950,cultural,medium,"British submarine HMS Truculent collides with an oil tanker in the Thames Estuary, killing 64 men."
the-great-brinks-robbery-eleven-thieves-steal-mo,The Great Brink's Robbery: Eleven thieves steal more than,1950,cultural,medium,The Great Brink's Robbery: Eleven thieves steal more than $2 million from an armored car company's offices in Boston.
united-nations-security-council-resolution-79-rela,United Nations Security Council Resolution 79 relating to,1950,diplomatic,medium,United Nations Security Council Resolution 79 relating to arms control is adopted.
american-lawyer-and-government-official-alger-hiss,American lawyer and government official Alger Hiss is,1950,diplomatic,medium,American lawyer and government official Alger Hiss is convicted of perjury.
the-knesset-resolves-that-jerusalem-is-the-capital,The Knesset resolves that Jerusalem is the capital of,1950,cultural,medium,The Knesset resolves that Jerusalem is the capital of Israel.
the-constitution-of-india-comes-into-force-formin,"The Constitution of India comes into force, forming a",1950,diplomatic,medium,"The Constitution of India comes into force, forming a republic. Rajendra Prasad is sworn in as the first President of India. Observed as Republic Day in India."
president-truman-orders-the-development-of-thermon,President Truman orders the development of thermonuclear,1950,diplomatic,medium,President Truman orders the development of thermonuclear weapons.
nbcs-long-running-morning-news-program-today-debu,"NBC's long-running morning news program Today debuts, with",1952,cultural,medium,"NBC's long-running morning news program Today debuts, with host Dave Garroway."
black-saturday-in-egypt-rioters-burn-cairos-cent,Black Saturday in Egypt: rioters burn Cairo's central,1952,cultural,medium,"Black Saturday in Egypt: rioters burn Cairo's central business district, targeting British and upper-class Egyptian businesses."
elizabeth-ii-becomes-queen-of-the-united-kingdom-a,Elizabeth II becomes Queen of the United Kingdom and her,1952,diplomatic,medium,"Elizabeth II becomes Queen of the United Kingdom and her other Realms and Territories and Head of the Commonwealth upon the death of her father, George VI. At the exact moment of succession, she was in a tree house at the Treetops Hotel in Kenya."
king-george-vi-of-the-united-kingdom-is-buried-in,King George VI of the United Kingdom is buried in St,1952,diplomatic,medium,"King George VI of the United Kingdom is buried in St George's Chapel, Windsor Castle."
emmett-ashford-becomes-the-first-african-american,Emmett Ashford becomes the first African-American umpire in,1952,exploration,medium,Emmett Ashford becomes the first African-American umpire in organized baseball by being authorized to be a substitute umpire in the Southwestern International League.
the-british-government-under-winston-churchill-a,"The British government, under Winston Churchill, abolishes",1952,diplomatic,medium,"The British government, under Winston Churchill, abolishes identity cards in the UK to ""set the people free""."
the-bengali-language-movement-protests-occur-at-th,The Bengali Language Movement protests occur at the,1952,cultural,medium,The Bengali Language Movement protests occur at the University of Dhaka in East Pakistan (now Bangladesh).
vincent-massey-is-sworn-in-as-the-first-canadian-b,Vincent Massey is sworn in as the first Canadian-born,1952,exploration,medium,Vincent Massey is sworn in as the first Canadian-born Governor General of Canada.
fulgencio-batista-leads-a-successful-coup-in-cuba,Fulgencio Batista leads a successful coup in Cuba.,1952,conflict,medium,Fulgencio Batista leads a successful coup in Cuba.
in-cilaos-runion-1870-mm-73-inches-of-rain-fa,"In Cilaos, Réunion, 1870 mm (73 inches) of rain falls in a",1952,cultural,medium,"In Cilaos, Réunion, 1870 mm (73 inches) of rain falls in a 24-hour period, setting a new world record (March 15 through March 16)."
india-establishes-its-highest-civilian-awards-the,"India establishes its highest civilian awards, the Bharat",1954,conflict,medium,"India establishes its highest civilian awards, the Bharat Ratna and the Padma Vibhushan."
georgetown-ibm-experiment-the-first-public-demons,Georgetown-IBM experiment: The first public demonstration,1954,exploration,medium,Georgetown-IBM experiment: The first public demonstration of a machine translation system is held in New York at the head office of IBM.
boac-flight-781-a-de-havilland-dh106-comet-1-ex,"BOAC Flight 781, a de Havilland DH.106 Comet 1, explodes",1954,cultural,medium,"BOAC Flight 781, a de Havilland DH.106 Comet 1, explodes and falls into the Tyrrhenian Sea, killing 35 people."
the-hudson-motor-car-company-merges-with-nash-kelv,The Hudson Motor Car Company merges with Nash-Kelvinator,1954,cultural,medium,The Hudson Motor Car Company merges with Nash-Kelvinator Corporation forming the American Motors Corporation.
in-the-united-states-the-national-negro-network-i,"In the United States, the National Negro Network is",1954,infrastructure,medium,"In the United States, the National Negro Network is established with 40 charter member radio stations."
the-first-nuclear-powered-submarine-the-uss-nauti,"The first nuclear-powered submarine, the USS Nautilus, is",1954,exploration,medium,"The first nuclear-powered submarine, the USS Nautilus, is launched in Groton, Connecticut by Mamie Eisenhower, the First Lady of the United States."
us-president-dwight-d-eisenhower-warns-against,U.S. President Dwight D. Eisenhower warns against United,1954,conflict,medium,U.S. President Dwight D. Eisenhower warns against United States intervention in Vietnam.
frank-selvy-becomes-the-only-ncaa-division-i-baske,Frank Selvy becomes the only NCAA Division I basketball,1954,cultural,medium,Frank Selvy becomes the only NCAA Division I basketball player ever to score 100 points in a single game.
canada-and-the-united-states-agree-to-construct-th,Canada and the United States agree to construct the Distant,1954,conflict,medium,"Canada and the United States agree to construct the Distant Early Warning Line, a system of radar stations in the far northern Arctic regions of Canada and Alaska."
the-first-church-of-scientology-is-established-in,The first Church of Scientology is established in Los,1954,exploration,medium,The first Church of Scientology is established in Los Angeles.
sudan-achieves-independence-from-egypt-and-the-uni,Sudan achieves independence from Egypt and the United,1956,diplomatic,medium,Sudan achieves independence from Egypt and the United Kingdom.
a-fire-damages-the-top-part-of-the-eiffel-tower,A fire damages the top part of the Eiffel Tower.,1956,infrastructure,medium,A fire damages the top part of the Eiffel Tower.
the-greek-national-radical-union-is-formed-by-kons,The Greek National Radical Union is formed by Konstantinos,1956,cultural,medium,The Greek National Radical Union is formed by Konstantinos Karamanlis.
operation-auca-five-us-missionaries-are-killed,Operation Auca: Five U.S. missionaries are killed by the,1956,diplomatic,medium,Operation Auca: Five U.S. missionaries are killed by the Huaorani of Ecuador shortly after making first contact.
soviet-union-cedes-porkkala-back-to-finland,Soviet Union cedes Porkkala back to Finland.,1956,cultural,medium,Soviet Union cedes Porkkala back to Finland.
elvis-presley-makes-his-first-national-television,Elvis Presley makes his first national television,1956,exploration,medium,Elvis Presley makes his first national television appearance.
in-the-united-states-civil-rights-movement-leader,"In the United States, Civil Rights Movement leader Martin",1956,diplomatic,medium,"In the United States, Civil Rights Movement leader Martin Luther King Jr.'s home is bombed in retaliation for the Montgomery bus boycott."
the-united-states-merchant-marine-academy-becomes,The United States Merchant Marine Academy becomes a,1956,cultural,medium,The United States Merchant Marine Academy becomes a permanent Service Academy.
in-his-speech-on-the-cult-of-personality-and-its-c,In his speech On the Cult of Personality and Its,1956,cultural,medium,"In his speech On the Cult of Personality and Its Consequences, Nikita Khrushchev, leader of the Soviet Union, denounces Stalin."
the-international-air-transport-association-finali,The International Air Transport Association finalizes a,1956,infrastructure,medium,The International Air Transport Association finalizes a draft of the Radiotelephony spelling alphabet for the International Civil Aviation Organization.
the-european-economic-community-is-established,The European Economic Community is established.,1958,cultural,medium,The European Economic Community is established.
the-west-indies-federation-is-formed,The West Indies Federation is formed.,1958,cultural,medium,The West Indies Federation is formed.
sputnik-1-the-first-artificial-earth-satellite-l,"Sputnik 1, the first artificial Earth satellite, launched",1958,exploration,medium,"Sputnik 1, the first artificial Earth satellite, launched by the Soviet Union in 1957, falls to Earth from orbit."
the-moroccan-army-of-liberation-ambushes-a-spanish,The Moroccan Army of Liberation ambushes a Spanish patrol,1958,conflict,medium,The Moroccan Army of Liberation ambushes a Spanish patrol in the Battle of Edchera.
after-a-general-uprising-and-rioting-in-the-street,"After a general uprising and rioting in the streets,",1958,conflict,medium,"After a general uprising and rioting in the streets, President Marcos Pérez Jiménez leaves Venezuela."
the-lego-company-patents-the-design-of-its-lego-br,"The Lego company patents the design of its Lego bricks,",1958,infrastructure,medium,"The Lego company patents the design of its Lego bricks, still compatible with bricks produced today."
cold-war-space-race-the-first-successful-america,Cold War: Space Race: The first successful American,1958,exploration,medium,Cold War: Space Race: The first successful American satellite detects the Van Allen radiation belt.
gamal-abdel-nasser-is-nominated-to-be-the-first-pr,Gamal Abdel Nasser is nominated to be the first president,1958,diplomatic,medium,Gamal Abdel Nasser is nominated to be the first president of the United Arab Republic.
national-airlines-flight-2511-is-destroyed-in-mid,National Airlines Flight 2511 is destroyed in mid-air by a,1960,cultural,medium,"National Airlines Flight 2511 is destroyed in mid-air by a bomb, while en route from New York City to Miami."
the-associations-law-comes-into-force-in-iraq-all,"The Associations Law comes into force in Iraq, allowing",1960,diplomatic,medium,"The Associations Law comes into force in Iraq, allowing registration of political parties."
the-reserve-bank-of-australia-the-countrys-centr,"The Reserve Bank of Australia, the country's central bank",1960,diplomatic,medium,"The Reserve Bank of Australia, the country's central bank and banknote issuing authority authorized by the 1959 Reserve Bank Act, is established."
capital-airlines-flight-20-crashes-into-a-farm-in,Capital Airlines Flight 20 crashes into a farm in Charles,1960,disasters,medium,"Capital Airlines Flight 20 crashes into a farm in Charles City County, Virginia, killing all 50 aboard, the third fatal Capital Airlines crash in as many years."
japan-and-the-united-states-sign-the-us-japan-mutu,Japan and the United States sign the US-Japan Mutual,1960,diplomatic,medium,Japan and the United States sign the US-Japan Mutual Security Treaty
scandinavian-airlines-system-flight-871-crashes-ne,Scandinavian Airlines System Flight 871 crashes near Ankara,1960,disasters,medium,"Scandinavian Airlines System Flight 871 crashes near Ankara Esenboğa Airport in Turkey, killing all 42 aboard."
little-joe-1b-a-mercury-spacecraft-lifts-off-fro,"Little Joe 1B, a Mercury spacecraft, lifts off from Wallops",1960,exploration,medium,"Little Joe 1B, a Mercury spacecraft, lifts off from Wallops Island, Virginia with Miss Sam, a female rhesus monkey on board."
avianca-flight-671-crashes-at-montego-bay-jamaica,"Avianca Flight 671 crashes at Montego Bay, Jamaica airport,",1960,disasters,medium,"Avianca Flight 671 crashes at Montego Bay, Jamaica airport, killing 37 people."
western-samoa-achieves-independence-from-new-zeala,Western Samoa achieves independence from New Zealand; its,1962,diplomatic,medium,Western Samoa achieves independence from New Zealand; its name is changed to the Independent State of Western Samoa.
pope-john-xxiii-excommunicates-fidel-castro,Pope John XXIII excommunicates Fidel Castro.,1962,cultural,medium,Pope John XXIII excommunicates Fidel Castro.
apollo-program-nasa-announces-plans-to-build-the,Apollo program: NASA announces plans to build the C-5,1962,exploration,medium,"Apollo program: NASA announces plans to build the C-5 rocket launch vehicle, then known as the ""Advanced Saturn"", to carry human beings to the Moon."
cold-war-while-tied-to-its-pier-in-polyarny-the,"Cold War: While tied to its pier in Polyarny, the Soviet",1962,conflict,medium,"Cold War: While tied to its pier in Polyarny, the Soviet submarine B-37 is destroyed when fire breaks out in its torpedo compartment."
an-avalanche-on-huascarn-in-peru-causes-around-4,"An avalanche on Huascarán in Peru causes around 4,000",1962,cultural,medium,"An avalanche on Huascarán in Peru causes around 4,000 deaths."
vietnam-war-operation-chopper-the-first-american,"Vietnam War: Operation Chopper, the first American combat",1962,conflict,medium,"Vietnam War: Operation Chopper, the first American combat mission in the war, takes place."
the-derveni-papyrus-europes-oldest-surviving-man,"The Derveni papyrus, Europe's oldest surviving manuscript",1962,cultural,medium,"The Derveni papyrus, Europe's oldest surviving manuscript dating to 340 BC, is found in northern Greece."
netherlands-new-guinea-conflict-indonesian-navy-f,Netherlands New Guinea Conflict: Indonesian Navy fast,1962,conflict,medium,Netherlands New Guinea Conflict: Indonesian Navy fast patrol boat RI Macan Tutul commanded by Commodore Yos Sudarso sunk in Arafura Sea by the Dutch Navy.
ranger-3-is-launched-to-study-the-moon-the-space,Ranger 3 is launched to study the Moon. The space probe,1962,exploration,medium,"Ranger 3 is launched to study the Moon. The space probe later misses the moon by 22,000 miles (35,400 km)."
french-president-charles-de-gaulle-calls-for-alger,French President Charles de Gaulle calls for Algeria to be,1962,diplomatic,medium,French President Charles de Gaulle calls for Algeria to be granted independence.
the-federation-of-rhodesia-and-nyasaland-is-divide,The Federation of Rhodesia and Nyasaland is divided into,1964,diplomatic,medium,"The Federation of Rhodesia and Nyasaland is divided into the independent republics of Zambia and Malawi, and the British-controlled Rhodesia."
president-lyndon-b-johnson-declares-a-war-on-pov,"President Lyndon B. Johnson declares a ""War on Poverty"" in",1964,conflict,medium,"President Lyndon B. Johnson declares a ""War on Poverty"" in the United States."
martyrs-day-several-panamanian-youths-try-to-rai,Martyrs' Day: Several Panamanian youths try to raise the,1964,conflict,medium,"Martyrs' Day: Several Panamanian youths try to raise the Panamanian flag in the U.S.-controlled Panama Canal Zone, leading to fighting between U.S. military and Panamanian civilians."
surgeon-general-of-the-united-states-dr-luther-te,"Surgeon General of the United States Dr. Luther Terry,",1964,diplomatic,medium,"Surgeon General of the United States Dr. Luther Terry, M.D., publishes the landmark report Smoking and Health: Report of the Advisory Committee to the Surgeon General of the United States saying that smoking may be hazardous to health, sparking national and worldwide anti-smoking efforts."
rebels-in-zanzibar-begin-a-revolt-known-as-the-zan,Rebels in Zanzibar begin a revolt known as the Zanzibar,1964,conflict,medium,Rebels in Zanzibar begin a revolt known as the Zanzibar Revolution and proclaim a republic.
anti-muslim-riots-break-out-in-calcutta-in-respon,"Anti-Muslim riots break out in Calcutta, in response to",1964,disasters,medium,"Anti-Muslim riots break out in Calcutta, in response to anti-Hindu riots in East Pakistan. About one hundred people are killed."
in-manchester-new-hampshire-fourteen-year-old-pa,"In Manchester, New Hampshire, fourteen-year-old Pamela",1964,conflict,medium,"In Manchester, New Hampshire, fourteen-year-old Pamela Mason is murdered. Edward Coolidge is tried and convicted of the crime, but the conviction is set aside by the landmark Fourth Amendment case Coolidge v. New Hampshire (1971)."
the-24th-amendment-to-the-united-states-constituti,"The 24th Amendment to the United States Constitution,",1964,diplomatic,medium,"The 24th Amendment to the United States Constitution, prohibiting the use of poll taxes in national elections, is ratified."
blue-ribbon-sports-which-would-later-become-nike,"Blue Ribbon Sports, which would later become Nike, is",1964,cultural,medium,"Blue Ribbon Sports, which would later become Nike, is founded by University of Oregon track and field athletes."
an-unarmed-united-states-air-force-t-39-sabreliner,An unarmed United States Air Force T-39 Sabreliner on a,1964,exploration,medium,"An unarmed United States Air Force T-39 Sabreliner on a training mission is shot down over Erfurt, East Germany, by a Soviet MiG-19."
tashkent-declaration-a-peace-agreement-between-in,"Tashkent Declaration, a peace agreement between India and",1966,diplomatic,medium,"Tashkent Declaration, a peace agreement between India and Pakistan signed that resolved the Indo-Pakistani War of 1965."
lyndon-b-johnson-states-that-the-united-states-sh,Lyndon B. Johnson states that the United States should stay,1966,cultural,medium,Lyndon B. Johnson states that the United States should stay in South Vietnam until Communist aggression there is ended.
robert-c-weaver-becomes-the-first-african-america,Robert C. Weaver becomes the first African American Cabinet,1966,exploration,medium,Robert C. Weaver becomes the first African American Cabinet member when he is appointed United States Secretary of Housing and Urban Development.
the-first-nigerian-republic-led-by-abubakar-tafaw,"The First Nigerian Republic, led by Abubakar Tafawa Balewa",1966,conflict,medium,"The First Nigerian Republic, led by Abubakar Tafawa Balewa is overthrown in a military coup d'état."
palomares-incident-a-b-52-bomber-collides-with-a,Palomares incident: A B-52 bomber collides with a KC-135,1966,cultural,medium,"Palomares incident: A B-52 bomber collides with a KC-135 Stratotanker over Spain, killing seven airmen, and dropping three 70-kiloton nuclear bombs near the town of Palomares and another one into the sea."
air-india-flight-101-crashes-into-mont-blanc,Air India Flight 101 crashes into Mont Blanc.,1966,disasters,medium,Air India Flight 101 crashes into Mont Blanc.
the-three-beaumont-children-disappear-from-a-beach,The three Beaumont children disappear from a beach in,1966,cultural,medium,"The three Beaumont children disappear from a beach in Glenelg, South Australia, resulting in one of the country's largest-ever police investigations."
the-soviet-union-launches-the-unmanned-luna-9-spac,The Soviet Union launches the unmanned Luna 9 spacecraft as,1966,exploration,medium,The Soviet Union launches the unmanned Luna 9 spacecraft as part of the Luna program.
pakistan-suggests-a-six-point-agenda-with-kashmir,Pakistan suggests a six-point agenda with Kashmir after the,1966,conflict,medium,Pakistan suggests a six-point agenda with Kashmir after the Indo-Pakistani War of 1965.
alexander-dubek-comes-to-power-in-czechoslovakia,"Alexander Dubček comes to power in Czechoslovakia,",1968,cultural,medium,"Alexander Dubček comes to power in Czechoslovakia, effectively beginning the ""Prague Spring""."
surveyor-program-surveyor-7-the-last-spacecraft,"Surveyor Program: Surveyor 7, the last spacecraft in the",1968,exploration,medium,"Surveyor Program: Surveyor 7, the last spacecraft in the Surveyor series, lifts off from launch complex 36A, Cape Canaveral."
johnny-cash-performs-live-at-folsom-state-prison,Johnny Cash performs live at Folsom State Prison.,1968,cultural,medium,Johnny Cash performs live at Folsom State Prison.
vietnam-war-battle-of-khe-sanh-one-of-the-most-p,Vietnam War: Battle of Khe Sanh: One of the most publicized,1968,conflict,medium,Vietnam War: Battle of Khe Sanh: One of the most publicized and controversial battles of the war begins.
a-b-52-bomber-crashes-near-thule-air-base-contami,"A B-52 bomber crashes near Thule Air Base, contaminating",1968,disasters,medium,"A B-52 bomber crashes near Thule Air Base, contaminating the area after its nuclear payload ruptures. One of the four bombs remains unaccounted for after the cleanup operation is complete."
apollo-5-lifts-off-carrying-the-first-lunar-module,Apollo 5 lifts off carrying the first Lunar module into,1968,exploration,medium,Apollo 5 lifts off carrying the first Lunar module into space.
operation-igloo-white-a-us-electronic-surveillanc,"Operation Igloo White, a US electronic surveillance system",1968,cultural,medium,"Operation Igloo White, a US electronic surveillance system to stop communist infiltration into South Vietnam begins installation."
uss-pueblo-ager-2-is-attacked-and-seized-by-the,USS Pueblo (AGER-2) is attacked and seized by the Korean,1968,conflict,medium,USS Pueblo (AGER-2) is attacked and seized by the Korean People's Navy.
vietnam-war-the-1st-australian-task-force-launche,Vietnam War: The 1st Australian Task Force launches,1968,conflict,medium,Vietnam War: The 1st Australian Task Force launches Operation Coburg against the North Vietnamese Army and Viet Cong during wider fighting around Long Bình and Biên Hòa.
the-defined-beginning-of-unix-time-at-000000,"The defined beginning of Unix time, at 00:00:00.",1970,cultural,medium,"The defined beginning of Unix time, at 00:00:00."
the-71-mw-tonghai-earthquake-shakes-tonghai-coun,"The 7.1 Mw  Tonghai earthquake shakes Tonghai County,",1970,disasters,medium,"The 7.1 Mw  Tonghai earthquake shakes Tonghai County, Yunnan province, China, with a maximum Mercalli intensity of X (Extreme). Between 10,000 and 15,000 people are known to have been killed and about another 26,000 are injured."
biafra-capitulates-ending-the-nigerian-civil-war,"Biafra capitulates, ending the Nigerian Civil War.",1970,conflict,easy,"Biafra capitulates, ending the Nigerian Civil War."
nigerian-civil-war-biafran-rebels-surrender-follo,Nigerian Civil War: Biafran rebels surrender following an,1970,conflict,easy,Nigerian Civil War: Biafran rebels surrender following an unsuccessful 32-month fight for independence from Nigeria.
muammar-gaddafi-is-proclaimed-premier-of-libya,Muammar Gaddafi is proclaimed premier of Libya.,1970,cultural,medium,Muammar Gaddafi is proclaimed premier of Libya.
the-boeing-747-the-worlds-first-jumbo-jet-ent,"The Boeing 747, the world's first ""jumbo jet"", enters",1970,exploration,medium,"The Boeing 747, the world's first ""jumbo jet"", enters commercial service for launch customer Pan American Airways with its maiden voyage from New York's John F. Kennedy International Airport to London Heathrow Airport."
japan-launches-ohsumi-becoming-the-fourth-nation,"Japan launches Ohsumi, becoming the fourth nation to put an",1970,exploration,medium,"Japan launches Ohsumi, becoming the fourth nation to put an object into orbit using its own booster."
