friendly_name,wikipedia_url,wikipedia_views,category,year,difficulty
Brasília Inaugurated,https://en.wikipedia.org/wiki/History_of_Brasília,10629,infrastructure,1960,medium
Nuclear Fusion Ignition Achieved,https://en.wikipedia.org/wiki/Fusion_ignition,10639,exploration,2022,medium
Death of Leonardo da Vinci,https://en.wikipedia.org/wiki/The_Death_of_Leonardo_da_Vinci,10988,cultural,1519,medium
Stanley Finds Livingstone,https://en.wikipedia.org/wiki/Stanley_and_Livingstone,11158,exploration,1871,medium
Black Thursday,https://en.wikipedia.org/wiki/Black_Thursday,12274,diplomatic,1929,medium
Zika Virus Outbreak,https://en.wikipedia.org/wiki/2015–16_Zika_virus_epidemic,12657,disasters,2015,medium
Peter the Great Modernizes Russia,https://en.wikipedia.org/wiki/Government_reform_of_Peter_the_Great,14520,cultural,1700,medium
Lucy Fossil Discovered,https://en.wikipedia.org/wiki/Lucy_(hominid),15728,exploration,1974,medium
UK Joins EEC,https://en.wikipedia.org/wiki/Accession_of_the_United_Kingdom_to_the_European_Communities,16382,diplomatic,1973,medium
Khmer Rouge Takes Power,https://en.wikipedia.org/wiki/Khmer_Rouge_insurgency,18379,conflict,1975,medium
The Thinker Sculpted,https://en.wikipedia.org/wiki/Think_break,19204,cultural,1880,medium
Fulton's Steamboat,https://en.wikipedia.org/wiki/North_River_Steamboat,19317,diplomatic,1807,medium
Oklahoma Land Rush,https://en.wikipedia.org/wiki/Land_run,19732,diplomatic,1889,medium
London Cholera Outbreak,https://en.wikipedia.org/wiki/2010s_Haiti_cholera_outbreak,23976,disasters,1854,medium
Refugee Crisis Peak,https://en.wikipedia.org/wiki/Refugee_crisis,24157,diplomatic,2015,medium
Black Monday,https://en.wikipedia.org/wiki/Black_Monday,24168,diplomatic,1987,medium
First Motion Picture Screened,https://en.wikipedia.org/wiki/Cinematograph,27466,cultural,1895,medium
North Korea Nuclear Test,https://en.wikipedia.org/wiki/List_of_nuclear_weapons_tests_of_North_Korea,28174,exploration,2006,medium
Great Hanshin Earthquake,https://en.wikipedia.org/wiki/Kobe_earthquake,28828,disasters,1995,medium
Napoleon Crowned Emperor,https://en.wikipedia.org/wiki/Crown_of_Napoleon,29600,conflict,1804,medium
Leaning Tower of Pisa Construction Begins,https://en.wikipedia.org/wiki/Pisa_Baptistery,29697,infrastructure,1173,medium
War of 1812 Begins,https://en.wikipedia.org/wiki/Timeline_of_the_War_of_1812,31727,conflict,1812,medium
First Public Railway Opens,https://en.wikipedia.org/wiki/Timeline_of_railway_history,34249,infrastructure,1825,medium
Queen Victoria's Diamond Jubilee,https://en.wikipedia.org/wiki/Diamond_Jubilee_of_Queen_Victoria,35957,diplomatic,1897,medium
Viking Lands on Mars,https://en.wikipedia.org/wiki/Mars_landing,36148,exploration,1976,medium
Death of Napoleon,https://en.wikipedia.org/wiki/Death_of_Napoleon,37600,cultural,1821,medium
China Joins WTO,https://en.wikipedia.org/wiki/China_and_the_World_Trade_Organization,38553,diplomatic,2001,medium
San Francisco Conference (UN Founded),https://en.wikipedia.org/wiki/United_Nations_Conference_on_International_Organization,38838,diplomatic,1945,medium
Cabral Discovers Brazil,https://en.wikipedia.org/wiki/Discovery_of_Brazil,39397,exploration,1500,medium
Radioactivity Discovered,https://en.wikipedia.org/wiki/Radioactivity,39528,exploration,1896,medium
Great Kanto Earthquake,https://en.wikipedia.org/wiki/Great_Kantō_Earthquake,40022,disasters,1923,medium
Germany Absorbs Austria,https://en.wikipedia.org/wiki/Austria–Germany_relations,40367,diplomatic,1938,medium
Latin American Independence Movements,https://en.wikipedia.org/wiki/Decolonization_of_the_Americas,42157,diplomatic,1821,medium
US Annexes Hawaii,https://en.wikipedia.org/wiki/Provisional_Government_of_Hawaii,42437,diplomatic,1898,medium
Darwin Begins Beagle Voyage,https://en.wikipedia.org/wiki/Second_voyage_of_HMS_Beagle,42500,exploration,1831,medium
New Amsterdam Becomes New York,"https://en.wikipedia.org/wiki/Amsterdam,_New_York",44581,infrastructure,1664,medium
Casablanca Conference,https://en.wikipedia.org/wiki/Casablanca_Conference,45375,diplomatic,1943,medium
Same-Sex Marriage in Canada,https://en.wikipedia.org/wiki/Same-sex_marriage_in_Canada,45859,diplomatic,2005,medium
Che Guevara Killed,https://en.wikipedia.org/wiki/Che_Guevara_Mausoleum,46711,conflict,1967,medium
Spanish Inquisition Established,https://en.wikipedia.org/wiki/Portuguese_Inquisition,47209,cultural,1478,medium
Qing Dynasty Established,https://en.wikipedia.org/wiki/Military_of_the_Qing_dynasty,49381,diplomatic,1644,medium
Lego Brick Patent,https://en.wikipedia.org/wiki/Lego_clone,49568,infrastructure,1958,medium
Liverpool-Manchester Railway Opens,https://en.wikipedia.org/wiki/Liverpool_and_Manchester_Railway,51053,infrastructure,1830,medium
Islamic Republic of Iran Established,https://en.wikipedia.org/wiki/Police_Command_of_the_Islamic_Republic_of_Iran,52293,diplomatic,1979,medium
First Liquid-Fueled Rocket,https://en.wikipedia.org/wiki/Liquid-propellant_rocket,53324,exploration,1926,medium
Soviet Withdrawal from Afghanistan,https://en.wikipedia.org/wiki/Soviet_withdrawal_from_Afghanistan,53425,diplomatic,1988,medium
Elvis Records First Single,https://en.wikipedia.org/wiki/That's_All_Right,53991,cultural,1954,medium
Holy Roman Empire Founded,https://en.wikipedia.org/wiki/Flags_of_the_Holy_Roman_Empire,55212,diplomatic,962,medium
Hundred Years' War Begins,https://en.wikipedia.org/wiki/First_Hundred_Years'_War,56515,conflict,1337,medium
Mandela Sentenced,https://en.wikipedia.org/wiki/Rivonia_Trial,57239,diplomatic,1964,medium
Interstate Highway System Begins,https://en.wikipedia.org/wiki/List_of_future_Interstate_Highways,58564,infrastructure,1956,medium
Power Loom Invented,https://en.wikipedia.org/wiki/Power_loom,58844,exploration,1785,medium
First Winter Olympics,https://en.wikipedia.org/wiki/1924_Winter_Olympics,60074,cultural,1924,medium
Franklin's Kite Experiment,https://en.wikipedia.org/wiki/Kite_experiment,60130,exploration,1752,medium
West African Ebola Outbreak,https://en.wikipedia.org/wiki/Western_African_Ebola_epidemic,60242,disasters,2014,medium
Colossus of Rhodes Completed,https://en.wikipedia.org/wiki/The_Rhodes_Colossus,60748,infrastructure,-280,medium
First Ferris Wheel Built,https://en.wikipedia.org/wiki/Ferris_Wheel_(1893),61814,infrastructure,1893,medium
Gulf of Tonkin Resolution,https://en.wikipedia.org/wiki/Gulf_of_Tonkin_Resolution,62314,diplomatic,1964,medium
Germany Reoccupies Rhineland,https://en.wikipedia.org/wiki/Remilitarisation_of_the_Rhineland,62720,diplomatic,1936,medium
Rhineland Remilitarized,https://en.wikipedia.org/wiki/Remilitarisation_of_the_Rhineland,62720,diplomatic,1936,medium
Ottoman Empire Founded,https://en.wikipedia.org/wiki/Military_of_the_Ottoman_Empire,63541,diplomatic,1299,medium
Social Security Act Signed,https://en.wikipedia.org/wiki/Social_Security_Act,64611,diplomatic,1935,medium
Gravitational Waves Detected,https://en.wikipedia.org/wiki/First_observation_of_gravitational_waves,65411,exploration,2015,medium
Treaty of Rome,https://en.wikipedia.org/wiki/Treaty_of_Rome,66508,diplomatic,1957,medium
Dutch Hunger Winter,https://en.wikipedia.org/wiki/Dutch_famine_of_1944–1945,67251,disasters,1944,medium
First Heart Transplant,https://en.wikipedia.org/wiki/Heart_transplantation,67906,cultural,1967,medium
First Geneva Convention,https://en.wikipedia.org/wiki/First_Geneva_Convention,68569,diplomatic,1864,medium
Nuclear Test Ban Treaty,https://en.wikipedia.org/wiki/Partial_Nuclear_Test_Ban_Treaty,70099,diplomatic,1963,medium
Death of Mao Zedong,https://en.wikipedia.org/wiki/Death_and_state_funeral_of_Mao_Zedong,70605,cultural,1976,medium
Napoleon Escapes Elba,https://en.wikipedia.org/wiki/Principality_of_Elba,70746,conflict,1815,medium
Pride and Prejudice Published,https://en.wikipedia.org/wiki/Pride_and_Prejudice_and_Zombies,71012,cultural,1813,medium
Jefferson Memorial Completed,https://en.wikipedia.org/wiki/Jefferson_Memorial,71235,infrastructure,1943,medium
Last Emperor of China Abdicates,https://en.wikipedia.org/wiki/Emperor_Xian_of_Han,72201,diplomatic,1912,medium
Joan of Arc Executed,https://en.wikipedia.org/wiki/Trial_of_Joan_of_Arc,75076,conflict,1431,medium
British Slave Trade Abolished,https://en.wikipedia.org/wiki/Slave_Trade_Act_1807,75185,cultural,1807,medium
Telescope Invented,https://en.wikipedia.org/wiki/History_of_the_telescope,75550,exploration,1608,medium
Caesar Invades Britain,https://en.wikipedia.org/wiki/Julius_Caesar's_invasions_of_Britain,75820,diplomatic,-55,medium
Macau Handover,https://en.wikipedia.org/wiki/Handover_of_Macau,75897,diplomatic,1999,medium
WikiLeaks Cables,https://en.wikipedia.org/wiki/United_States_diplomatic_cables_leak,75945,diplomatic,2010,medium
Fair Housing Act,https://en.wikipedia.org/wiki/Civil_Rights_Act_of_1968,77080,diplomatic,1968,medium
Japan Annexes Korea,https://en.wikipedia.org/wiki/Japan–Korea_Treaty_of_1910,77788,diplomatic,1910,medium
First Voyage of James Cook,https://en.wikipedia.org/wiki/First_voyage_of_James_Cook,78706,exploration,1768,medium
Queen Victoria Dies,https://en.wikipedia.org/wiki/Death_and_state_funeral_of_Queen_Victoria,78746,cultural,1901,medium
Vasco da Gama Reaches India,"https://en.wikipedia.org/wiki/Vasco_da_Gama,_Goa",79100,exploration,1498,medium
Vikings Settle Iceland,https://en.wikipedia.org/wiki/Settlement_of_Iceland,80354,exploration,874,medium
Vikings Reach Greenland,https://en.wikipedia.org/wiki/Norse_settlements_in_Greenland,81948,exploration,982,medium
Vikings Reach North America,https://en.wikipedia.org/wiki/Norse_settlement_of_North_America,81952,exploration,1000,medium
South Carolina Secedes,https://en.wikipedia.org/wiki/Flag_of_South_Carolina,84446,diplomatic,1860,medium
Seneca Falls Convention,https://en.wikipedia.org/wiki/Seneca_Falls_Convention,85545,cultural,1848,medium
Vatican City Created,https://en.wikipedia.org/wiki/Pontifical_Commission_for_Vatican_City_State,85698,diplomatic,1929,medium
Brazil Independence,https://en.wikipedia.org/wiki/Independence_of_Brazil,86611,diplomatic,1822,medium
Boy Scouts Founded,https://en.wikipedia.org/wiki/Scouting_America,88550,cultural,1910,medium
Sesame Street Debuts,https://en.wikipedia.org/wiki/Sesame_Street_characters,88692,cultural,1969,medium
Treaty of Nanking,https://en.wikipedia.org/wiki/Treaty_of_Nanking,89412,diplomatic,1842,medium
A Christmas Carol Published,https://en.wikipedia.org/wiki/Christmas_carol,91052,cultural,1843,medium
First Soviet Nuclear Test,https://en.wikipedia.org/wiki/RDS-1,91951,exploration,1949,medium
Texas Winter Storm,"https://en.wikipedia.org/wiki/February_13–17,_2021_North_American_winter_storm",92233,disasters,2021,medium
Italy Surrenders,https://en.wikipedia.org/wiki/Armistice_of_Cassibile,93406,conflict,1943,medium
Emancipation of Russian Serfs,https://en.wikipedia.org/wiki/Emancipation_reform_of_1861,93823,diplomatic,1861,medium
Korean War Armistice,https://en.wikipedia.org/wiki/Korean_Armistice_Agreement,95254,conflict,1953,medium
Domestication of Horses,https://en.wikipedia.org/wiki/Domestication_of_the_horse,96228,exploration,-4000,medium
Federal Reserve Created,https://en.wikipedia.org/wiki/Federal_Reserve_Act,96585,diplomatic,1913,medium
Watt Improves Steam Engine,https://en.wikipedia.org/wiki/Watt_steam_engine,97210,infrastructure,1769,medium
SVB Collapse,https://en.wikipedia.org/wiki/Collapse_of_Silicon_Valley_Bank,98466,disasters,2023,medium
East Timor Independence Vote,https://en.wikipedia.org/wiki/Indonesian_occupation_of_East_Timor,99231,diplomatic,1999,medium
Tennis Court Oath,https://en.wikipedia.org/wiki/Tennis_Court_Oath,99587,diplomatic,1789,medium
Death of Lenin,https://en.wikipedia.org/wiki/Death_and_state_funeral_of_Vladimir_Lenin,102005,cultural,1924,medium
Hip Hop Emerges,https://en.wikipedia.org/wiki/Southern_hip-hop,102262,cultural,1979,medium
Egypt-Israel Peace Treaty,https://en.wikipedia.org/wiki/Egypt–Israel_peace_treaty,102818,diplomatic,1979,medium
First Skyscraper Built,https://en.wikipedia.org/wiki/Early_skyscrapers,102879,infrastructure,1885,medium
Potemkin Mutiny,https://en.wikipedia.org/wiki/Russian_battleship_Potemkin,102891,conflict,1905,medium
Rialto Bridge Completed,https://en.wikipedia.org/wiki/Rialto_Bridge,104057,infrastructure,1591,medium
Johnny Cash at Folsom Prison,https://en.wikipedia.org/wiki/At_Folsom_Prison,105923,cultural,1968,medium
Indian Constitution Enacted,https://en.wikipedia.org/wiki/Eighth_Schedule_to_the_Constitution_of_India,106257,diplomatic,1950,medium
Reign of Terror Begins,https://en.wikipedia.org/wiki/Timeline_of_the_French_Revolution,106520,conflict,1793,medium
Extinction Rebellion Protests,https://en.wikipedia.org/wiki/Extinction_Rebellion,106528,disasters,2019,medium
Girl Scouts Founded,https://en.wikipedia.org/wiki/Girl_Scouts_of_the_USA,106718,cultural,1912,medium
First Five-Year Plan (USSR),https://en.wikipedia.org/wiki/Five-year_plans_of_the_Soviet_Union,108404,diplomatic,1928,medium
Trieste Reaches Ocean Floor,https://en.wikipedia.org/wiki/Trieste_(bathyscaphe),109123,exploration,1960,medium
Bird's Nest Stadium Completed,https://en.wikipedia.org/wiki/Beijing_National_Stadium,112068,infrastructure,2008,medium
Acts of Union Create Great Britain,https://en.wikipedia.org/wiki/Acts_of_Union_1800,112894,diplomatic,1707,medium
First Commercial Radio Broadcast,https://en.wikipedia.org/wiki/History_of_radio,112969,infrastructure,1920,medium
Drake Circumnavigates Globe,https://en.wikipedia.org/wiki/Circumnavigation,112995,exploration,1580,medium
Rousseau's Social Contract,https://en.wikipedia.org/wiki/The_Social_Contract,116434,diplomatic,1762,medium
Lincoln-Douglas Debates,https://en.wikipedia.org/wiki/Lincoln–Douglas_debates,117016,diplomatic,1858,medium
Standard Oil Founded,https://en.wikipedia.org/wiki/Successors_of_Standard_Oil,118189,diplomatic,1870,medium
Million Man March,https://en.wikipedia.org/wiki/Million_Man_March,118680,cultural,1995,medium
Austria Annexes Bosnia,https://en.wikipedia.org/wiki/Austro-Hungarian_rule_in_Bosnia_and_Herzegovina,118721,diplomatic,1908,medium
Execution of Mary Queen of Scots,"https://en.wikipedia.org/wiki/Execution_of_Mary,_Queen_of_Scots",119735,diplomatic,1587,medium
McCarthy Hearings,https://en.wikipedia.org/wiki/Army–McCarthy_hearings,120859,cultural,1954,medium
Korean War Begins,https://en.wikipedia.org/wiki/History_of_South_Korea,121004,conflict,1950,medium
Balboa Sees the Pacific,https://en.wikipedia.org/wiki/Vasco_Núñez_de_Balboa,121439,exploration,1513,medium
Trotsky Assassinated,https://en.wikipedia.org/wiki/Assassination_of_Leon_Trotsky,121841,conflict,1940,medium
Edict of Milan,https://en.wikipedia.org/wiki/Edict_of_Milan,123768,diplomatic,313,medium
Impeachment of Andrew Johnson,https://en.wikipedia.org/wiki/Impeachment_of_Andrew_Johnson,123801,diplomatic,1868,medium
British Troops to Northern Ireland,https://en.wikipedia.org/wiki/Operation_Banner,126240,diplomatic,1969,medium
Mexico City Earthquake,https://en.wikipedia.org/wiki/1985_Mexico_City_earthquake,127652,disasters,1985,medium
China Unified Under Qin Dynasty,https://en.wikipedia.org/wiki/Qin_(state),128018,diplomatic,-221,medium
Red Cross Founded,https://en.wikipedia.org/wiki/American_Red_Cross,128110,diplomatic,1863,medium
Slavery Abolished in British Empire,https://en.wikipedia.org/wiki/Slavery_Abolition_Act_1833,128237,cultural,1833,medium
Conquest of Mecca,https://en.wikipedia.org/wiki/Conquest_of_Mecca,128677,conflict,630,medium
Birth Control Pill Approved,https://en.wikipedia.org/wiki/Combined_oral_contraceptive_pill,128859,cultural,1960,medium
Spinning Jenny Invented,https://en.wikipedia.org/wiki/Spinning_jenny,129238,exploration,1764,medium
SARS Outbreak,https://en.wikipedia.org/wiki/2002–2004_SARS_outbreak,132823,disasters,2003,medium
Neanderthal Extinction,https://en.wikipedia.org/wiki/Neanderthal_extinction,133398,disasters,-40000,medium
Extinction of Neanderthals,https://en.wikipedia.org/wiki/Neanderthal_extinction,133398,disasters,-30000,medium
Sherman Antitrust Act,https://en.wikipedia.org/wiki/Sherman_Antitrust_Act,133497,diplomatic,1890,medium
Homestead Act,https://en.wikipedia.org/wiki/Homestead_Acts,135255,diplomatic,1862,medium
Swine Flu Pandemic,https://en.wikipedia.org/wiki/2009_swine_flu_pandemic,135919,disasters,2009,medium
Ethiopian Famine,https://en.wikipedia.org/wiki/1983–1985_famine_in_Ethiopia,136690,disasters,1983,medium
Fourteen Points,https://en.wikipedia.org/wiki/Fourteen_Points,139681,diplomatic,1918,medium
Pont du Gard Built,https://en.wikipedia.org/wiki/Pont_du_Gard,140094,infrastructure,19,medium
Blood Types Discovered,https://en.wikipedia.org/wiki/ABO_blood_group_system,142320,exploration,1901,medium
Paris Peace Accords,https://en.wikipedia.org/wiki/Paris_Peace_Accords,143162,diplomatic,1973,medium
Ming Dynasty Established,https://en.wikipedia.org/wiki/Transition_from_Ming_to_Qing,146603,diplomatic,1368,medium
Bretton Woods Conference,https://en.wikipedia.org/wiki/Bretton_Woods_Conference,147565,diplomatic,1944,medium
Nice Truck Attack,https://en.wikipedia.org/wiki/2016_Nice_truck_attack,147649,conflict,2016,medium
English Bill of Rights,https://en.wikipedia.org/wiki/Bill_of_Rights_1689,147882,diplomatic,1689,medium
Spanish Civil War Begins,https://en.wikipedia.org/wiki/Nationalist_faction_(Spanish_Civil_War),148215,conflict,1936,medium
Marriage of Ferdinand and Isabella,https://en.wikipedia.org/wiki/Catholic_Monarchs_of_Spain,150926,diplomatic,1469,medium
Armenian Genocide Begins,https://en.wikipedia.org/wiki/Armenian_genocide_recognition,151644,conflict,1915,medium
Expulsion of Jews from Spain,https://en.wikipedia.org/wiki/Expulsion_of_Jews_from_Spain,152019,cultural,1492,medium
Dissolution of the Monasteries,https://en.wikipedia.org/wiki/Dissolution_of_the_monasteries,152137,diplomatic,1536,medium
Tate Modern Opens,https://en.wikipedia.org/wiki/Tate_Modern,152474,infrastructure,2000,medium
Sharpeville Massacre,https://en.wikipedia.org/wiki/Sharpeville_massacre,154479,conflict,1960,medium
Liberation of Auschwitz,https://en.wikipedia.org/wiki/Liberation_of_Auschwitz_concentration_camp,154547,conflict,1945,medium
Louvre Pyramid Completed,https://en.wikipedia.org/wiki/Louvre_Pyramid,155049,infrastructure,1989,medium
Sichuan Earthquake,https://en.wikipedia.org/wiki/2008_Sichuan_earthquake,155566,disasters,2008,medium
Aswan High Dam Completed,https://en.wikipedia.org/wiki/Aswan_Dam,156147,infrastructure,1970,medium
Maastricht Treaty,https://en.wikipedia.org/wiki/Maastricht_Treaty,157514,diplomatic,1992,medium
Vietnam War Escalates,https://en.wikipedia.org/wiki/Opposition_to_United_States_involvement_in_the_Vietnam_War,158718,conflict,1965,medium
AIDS Epidemic Recognized,https://en.wikipedia.org/wiki/Epidemiology_of_HIV/AIDS,158748,disasters,1981,medium
AIDS Identified,https://en.wikipedia.org/wiki/Epidemiology_of_HIV/AIDS,158748,cultural,1981,medium
Execution of Robespierre,https://en.wikipedia.org/wiki/Fall_of_Maximilien_Robespierre,159238,diplomatic,1794,medium
Great Plague of London,https://en.wikipedia.org/wiki/Great_Plague_of_London,159373,disasters,1665,medium
Liberation of Paris,https://en.wikipedia.org/wiki/Liberation_of_Paris,159446,conflict,1944,medium
Galileo Discovers Jupiter's Moons,https://en.wikipedia.org/wiki/Galilean_moons,159685,exploration,1610,medium
Fall of Tenochtitlan,https://en.wikipedia.org/wiki/Fall_of_Tenochtitlan,159840,conflict,1521,medium
Shackleton's Endurance Expedition,https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,160352,exploration,1914,medium
Inchon Landing,https://en.wikipedia.org/wiki/Battle_of_Inchon,161452,diplomatic,1950,medium
Fall of Granada,https://en.wikipedia.org/wiki/Granada_War,161812,conflict,1492,medium
Human Genome Sequenced,https://en.wikipedia.org/wiki/Human_genome,162306,cultural,2003,medium
Soweto Uprising,https://en.wikipedia.org/wiki/Soweto_uprising,163400,conflict,1976,medium
Kon-Tiki Expedition,https://en.wikipedia.org/wiki/Kon-Tiki_expedition,163827,exploration,1947,medium
Code Napoleon,https://en.wikipedia.org/wiki/Napoleonic_Code,164509,diplomatic,1804,medium
Slovenia and Croatia Independence,https://en.wikipedia.org/wiki/Ten-Day_War,164623,diplomatic,1991,medium
Dayton Accords,https://en.wikipedia.org/wiki/Dayton_Agreement,164851,diplomatic,1995,medium
Pizarro Executes Atahualpa,https://en.wikipedia.org/wiki/Atahualpa,165925,diplomatic,1533,medium
Capture of Jerusalem,https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(1099),168018,conflict,1099,medium
EU Eastern Expansion,https://en.wikipedia.org/wiki/Enlargement_of_the_European_Union,168051,diplomatic,2004,medium
EU Expansion to 25,https://en.wikipedia.org/wiki/Enlargement_of_the_European_Union,168051,diplomatic,2004,medium
Volta Invents the Battery,https://en.wikipedia.org/wiki/Alessandro_Volta,169032,exploration,1800,medium
Stamp Act,https://en.wikipedia.org/wiki/Stamp_Act_1765,169789,diplomatic,1765,medium
Transatlantic Cable Completed,https://en.wikipedia.org/wiki/Transatlantic_telegraph_cable,170032,infrastructure,1866,medium
Death of Socrates,https://en.wikipedia.org/wiki/The_Death_of_Socrates,170848,cultural,-399,medium
Microscope Invented,https://en.wikipedia.org/wiki/Microscope,172750,exploration,1590,medium
Napoleon's Egyptian Campaign,https://en.wikipedia.org/wiki/French_invasion_of_Egypt_and_Syria,173215,diplomatic,1798,medium
Babylonian Destruction of Jerusalem,https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(587_BC),173651,disasters,-586,medium
Indian Removal Act,https://en.wikipedia.org/wiki/Indian_Removal_Act,175436,diplomatic,1830,medium
Mendel Discovers Genetics,https://en.wikipedia.org/wiki/Mendelian_inheritance,175512,exploration,1866,medium
First Olympic Games,https://en.wikipedia.org/wiki/1896_Summer_Olympics,175738,cultural,-776,medium
Chartres Cathedral Completed,https://en.wikipedia.org/wiki/Chartres_Cathedral,176406,infrastructure,1220,medium
Chilean Mine Rescue,https://en.wikipedia.org/wiki/2010_Copiapó_mining_accident,177184,diplomatic,2010,medium
Egyptian Revolution,https://en.wikipedia.org/wiki/2011_Egyptian_revolution,178171,diplomatic,1952,medium
Egyptian Revolution,https://en.wikipedia.org/wiki/2011_Egyptian_revolution,178171,diplomatic,2011,medium
Punk Rock Emerges,https://en.wikipedia.org/wiki/Garage_rock,179129,cultural,1976,medium
First Nuclear Reactor,https://en.wikipedia.org/wiki/Chicago_Pile-1,179741,exploration,1942,medium
Archimedes Discovers Buoyancy,https://en.wikipedia.org/wiki/Buoyancy,181013,exploration,-250,medium
Apollo 17 (Last Moon Mission),https://en.wikipedia.org/wiki/List_of_Apollo_missions,181108,exploration,1972,medium
First Fleet Arrives in Australia,https://en.wikipedia.org/wiki/First_Fleet,181283,diplomatic,1788,medium
CRISPR Gene Editing,https://en.wikipedia.org/wiki/CRISPR_gene_editing,182310,exploration,2012,medium
Voyager 1 Leaves Solar System,https://en.wikipedia.org/wiki/Heliosphere,184665,exploration,2012,medium
First Test-Tube Baby,https://en.wikipedia.org/wiki/Jean_Purdy,185585,exploration,1978,medium
Tibet Invasion,https://en.wikipedia.org/wiki/Annexation_of_Tibet_by_the_People's_Republic_of_China,186717,conflict,1950,medium
Declaration of the Rights of Man,https://en.wikipedia.org/wiki/Declaration_of_the_Rights_of_Man_and_of_the_Citizen,188834,diplomatic,1789,medium
Glasnost and Perestroika,https://en.wikipedia.org/wiki/Glasnost,189192,diplomatic,1985,medium
Truman Doctrine,https://en.wikipedia.org/wiki/Truman_Doctrine,189379,diplomatic,1947,medium
Kyoto Protocol,https://en.wikipedia.org/wiki/Kyoto_Protocol,189652,diplomatic,1997,medium
Telegraph Invented,https://en.wikipedia.org/wiki/Electrical_telegraph,191255,infrastructure,1837,medium
Great Fire of Rome,https://en.wikipedia.org/wiki/Great_Fire_of_Rome,191690,disasters,64,medium
Diet of Worms,https://en.wikipedia.org/wiki/Diet_of_Worms,191703,cultural,1521,medium
Rana Plaza Collapse,https://en.wikipedia.org/wiki/Rana_Plaza_collapse,192679,disasters,2013,medium
Children's Crusade,https://en.wikipedia.org/wiki/Children's_Crusade,192721,conflict,1212,medium
Freedom Riders,https://en.wikipedia.org/wiki/Freedom_Riders,192831,diplomatic,1961,medium
Peace Corps Founded,https://en.wikipedia.org/wiki/Peace_Corps,193460,diplomatic,1961,medium
Nat Turner's Rebellion,https://en.wikipedia.org/wiki/Nat_Turner's_Rebellion,193541,conflict,1831,medium
Hannibal Crosses the Alps,https://en.wikipedia.org/wiki/Hannibal's_crossing_of_the_Alps,194150,conflict,-218,medium
Warhol's Campbell's Soup Cans,https://en.wikipedia.org/wiki/Campbell's_Soup_Cans,196363,cultural,1962,medium
European Heat Wave,https://en.wikipedia.org/wiki/Heat_wave,197595,disasters,2003,medium
Perry Expedition Opens Japan,https://en.wikipedia.org/wiki/Perry_Expedition,198413,exploration,1853,medium
Commodore Perry Returns to Japan,https://en.wikipedia.org/wiki/Perry_Expedition,198413,diplomatic,1854,medium
First Automobile,https://en.wikipedia.org/wiki/Benz_Patent-Motorwagen,199103,infrastructure,1886,medium
Smallpox Vaccine Developed,https://en.wikipedia.org/wiki/Smallpox_vaccine,203225,exploration,1796,medium
Athenian Democracy Established,https://en.wikipedia.org/wiki/Athenian_democracy,203660,diplomatic,-508,medium
Beethoven's Fifth Symphony,https://en.wikipedia.org/wiki/Symphony_No._5_(Beethoven),204987,cultural,1808,medium
Zimmermann Telegram,https://en.wikipedia.org/wiki/Zimmermann_telegram,205593,diplomatic,1917,medium
Islamic Conquest of Spain,https://en.wikipedia.org/wiki/Muslim_conquest_of_the_Iberian_Peninsula,207209,diplomatic,711,medium
Palm Jumeirah Completed,https://en.wikipedia.org/wiki/Palm_Jumeirah,207880,infrastructure,2006,medium
Chinese Exclusion Act,https://en.wikipedia.org/wiki/Chinese_Exclusion_Act,211264,diplomatic,1882,medium
Spirit Mars Rover Lands,https://en.wikipedia.org/wiki/Mars_rover,213179,exploration,2004,medium
Tianjin Explosions,https://en.wikipedia.org/wiki/2015_Tianjin_explosions,213663,disasters,2015,medium
Communist Revolution in China,https://en.wikipedia.org/wiki/Chinese_Communist_Revolution,213712,conflict,1949,medium
Roman Conquest of Britain,https://en.wikipedia.org/wiki/Roman_conquest_of_Britain,213934,conflict,43,medium
Mount Pinatubo Eruption,https://en.wikipedia.org/wiki/1991_eruption_of_Mount_Pinatubo,214612,disasters,1991,medium
First Russian Revolution,https://en.wikipedia.org/wiki/Russian_Revolution_of_1905,215418,conflict,1905,medium
Radio City Music Hall Opens,https://en.wikipedia.org/wiki/Radio_City_Music_Hall,216394,infrastructure,1932,medium
Elvis on Ed Sullivan,https://en.wikipedia.org/wiki/The_Ed_Sullivan_Show,217172,cultural,1956,medium
Lincoln Memorial Completed,https://en.wikipedia.org/wiki/Lincoln_Memorial,217302,infrastructure,1922,medium
Hurricane Andrew,https://en.wikipedia.org/wiki/Hurricane_Andrew,217557,disasters,1992,medium
Canadian Pacific Railway Completed,https://en.wikipedia.org/wiki/Canadian_Pacific_Railway,217628,infrastructure,1885,medium
Newton Publishes Principia,https://en.wikipedia.org/wiki/Philosophiæ_Naturalis_Principia_Mathematica,217644,exploration,1687,medium
Guggenheim Bilbao Opens,https://en.wikipedia.org/wiki/Guggenheim_Museum_Bilbao,220431,infrastructure,1997,medium
Christchurch Earthquake,https://en.wikipedia.org/wiki/2011_Christchurch_earthquake,221304,disasters,2011,medium
South Pole Reached,https://en.wikipedia.org/wiki/South_Pole,223270,exploration,1911,medium
