event_name,event_title,approximate_year,region,category,sources
templars-banking-network,Knights Templar Establish Banking Network,1150,Europe,commercial,r2_economic
bhaskara-mathematics-india,Bhaskara II Develops Mathematics,1150,India,mathematical,r2_scientific
toledo-translation-movement,Toledo Translation Movement Flourishes,1150,Spain,intellectual,r2_scientific
minnesinger-tradition,Minnesinger Tradition in Germany,1150,Germany,musical,r2_cultural
seljuk-tilework,Seljuk Tile and Mosaic Work Flourishes,1150,Persia,artistic,r2_cultural
khmer-temple-architecture,Khmer Temple Architecture Tradition Peak,1150,Southeast Asia,architectural,r2_cultural
al-idrisi-geography-map,Al-Idrisi Creates Comprehensive World Map,1154,Sicily,scientific,r2_scientific
pala-dynasty-decline,Pala Dynasty Decline Bengal,1161,India,political,r2_medieval
ayyubid-saladin-crusades,Ayyubid Dynasty Under Saladin,1169,Middle East,military,non_western
pont-old-london,Old London Bridge,1176,England,infrastructure,historical_firsts
waldensian-movement,Waldensian Movement Peter Waldo,1176,Europe,religious,r2_medieval
montgisard-crusaders-saladin,Battle of Montgisard - Crusaders Victory,1177,Eastern Mediterranean,military,r2_medieval
benin-kingdom-founded,Benin Kingdom Established,1180,Africa,political,non_western
song-color-printing,Song Dynasty Color Printing Development,1180,East Asia,invention,r2_medieval
ma-yuan-painting-style,Ma Yuan Painting Style Peak,1180,China,artistic,r2_cultural
zagwe-rock-churches,Zagwe Dynasty Constructs Rock-Hewn Churches,1180,East Africa,religious,r2_africa_pacific
kamakura-shogunate-establishment,Kamakura Shogunate Established,1185,Japan,political,r2_medieval
second-crusade-battle-hattin,Battle of Hattin Crusaders Defeated,1187,Eastern Mediterranean,military,r2_medieval
cliff-palace,Cliff Palace Construction,1190,North America,architectural,gap_analysis
mesa-verde-cliff-dwellings,Mesa Verde Cliff Dwellings Peak,1190,North America,architectural,r2_korea_americas
jaffa-crusades,Crusaders Capture Jaffa,1192,Eastern Mediterranean,military,r2_medieval
gothic-cathedral-construction,Chartres Cathedral Construction,1194,Europe,architectural,r2_medieval
minamoto-yoritomo-power,Minamoto Yoritomo Consolidated Power,1195,Japan,political,r2_medieval
inca-empire-expansion,Inca Empire Rise,1200,South America,political,chronology
kanem-bornu,Kanem-Bornu Empire Development,1200,Sub-Saharan Africa,political,gap_analysis
swahili-city-states,Swahili City-States Rise,1200,Sub-Saharan Africa,economic,"gap_analysis, non_western"
dogon-settlement,Dogon People Occupy Bandiagara Escarpment,1200,Sub-Saharan Africa,cultural,gap_analysis
rajasthan-kingdoms,Rajasthani Kingdom Wars,1200,South Asia,military,gap_analysis
olmec-civilization,Olmec Civilization Development,1200,Mesoamerica,cultural,gap_analysis
chimú-kingdom,Chimú Kingdom Flourishes,1200,South America,political,gap_analysis
easter-island-settlement,Easter Island Settlement,1200,Oceania/Pacific,exploration,gap_analysis
fiji-kingdoms,Fijian Kingdoms Established,1200,Oceania/Pacific,political,gap_analysis
flanders-cloth-trade,Flanders Cloth Trade Network,1200,Western Europe,economic,gap_analysis
beguine-movement,Beguine Religious Movement,1200,Western Europe,social,gap_analysis
novgorod-republic,Novgorod Republic Golden Age,1200,Eastern Europe,political,gap_analysis
oxford-university-influence,Oxford University Grows as Intellectual Center,1200,England,intellectual,consequence_chain
arabic-numerals-adoption,Arabic Numerals Adopted in Europe,1200,Europe,intellectual,consequence_chain
paper-technology-spreads,Paper Technology Spreads to Europe,1200,Europe,invention,consequence_chain
ethiopian-lalibela-churches,King Lalibela Builds Rock Churches,1200,Africa,architecture,non_western
olmec-stone-heads,Olmec Culture Creates Colossal Stone Heads,1200,Mesoamerica,art,non_western
chimor-chan-chan-city,Chan Chan Capital City Flourishes,1200,South America,architecture,non_western
muisca-confederation,Muisca Confederation in Colombia,1200,South America,political,non_western
rapa-nui-moai,Rapa Nui Moai Statue Construction,1200,Pacific,architecture,non_western
tonga-maritime-network,Tonga Maritime Trade Network,1200,Pacific,trade,non_western
hawaiian-settlement-societies,Hawaiian Settlement Societies Formation,1200,Pacific,political,non_western
lapita-culture,Lapita Culture Pottery Network,1200,Pacific,trade,non_western
sepik-river-art,Sepik River Art Culture Development,1200,Pacific,culture,non_western
vedic-civilization-vedas,Vedic Period Vedas Composed,1200,South Asia,religion,non_western
lampang-kingdom,Lampang Kingdom Northern Thailand,1200,Southeast Asia,political,non_western
bagobo-culture,Bagobo Culture Philippines,1200,Southeast Asia,culture,non_western
toraja-culture,Toraja Culture Sulawesi,1200,Southeast Asia,culture,non_western
first-greenhouse,Greenhouse Cultivation,1200,Italy,food/agriculture,historical_firsts
song-blue-white-porcelain,Song Dynasty Blue and White Porcelain,1200,East Asia,invention,r2_medieval
song-paper-money-system,Song Dynasty Paper Money Economic Policy,1200,East Asia,economic,r2_medieval
song-triple-harvest,Song Dynasty Three Harvests per Year,1200,East Asia,agricultural,r2_medieval
zimbabwe-trading-network,Great Zimbabwe Trade Network Development,1200,Africa,economic,r2_medieval
hojo-regency-system,Hojo Regency System Development,1200,Japan,political,r2_medieval
zen-buddhism-development,Zen Buddhism Development Japan,1200,Japan,religious,r2_medieval
khwarezm-development-canal,Khwarezm Canal Development,1200,Central Asia,architectural,r2_medieval
university-paris-founding,University of Paris Formal Recognition,1200,Europe,cultural,r2_medieval
maya-postclassic-conflicts,Maya Postclassic Period Conflicts,1200,Americas,military,r2_medieval
mound-builder-tradition,Mound Builder Tradition Peak,1200,Americas,architectural,r2_medieval
potato-cultivation-spread,Potato Cultivation Spreads Through Americas,1200,Americas,agricultural,r2_economic
water-mill-expansion,Water Mill Expansion Changes Production,1200,Europe,agricultural,r2_economic
windmill-introduction,Windmill Introduction to Europe,1200,Europe,agricultural,r2_economic
terracing-agriculture-andes,Andean Terrace Agriculture Development,1200,Americas,agricultural,r2_economic
maize-cultivation-expansion,Maize Cultivation Spreads Through Americas,1200,Americas,agricultural,r2_economic
tin-trade-cornwall,Cornish Tin Trade Dominates Medieval Europe,1200,Britain,trade,r2_economic
perfume-trade-arabia,Arabian Perfume Trade Reaches Europe,1200,Arabia,trade,r2_economic
slave-trade-arab,Arab Slave Trade Networks Dominate,1200,Africa,commercial,r2_economic
bahauddin-zakariya-medicine,Bahauddin Zakariya Advances Medicine,1200,Persia,medical,r2_scientific
translation-movement-sicily,Translation Movement in Sicily,1200,Sicily,intellectual,"r2_scientific, r2_paradigm_shifts"
epic-gilgamesh-written,Epic of Gilgamesh Written Down,1200,Mesopotamia,literary,r2_cultural
egyptian-wall-painting-tradition,Egyptian Wall Painting Traditions Peak,1200,Egypt,artistic,r2_cultural
arabic-manuscript-illumination,Arabic Manuscript Illumination Peak,1200,Middle East,artistic,r2_cultural
al-jazari-mechanical-art,Al-Jazari Creates Mechanical Art Sculptures,1200,Middle East,artistic,r2_cultural
damascene-silk-weaving,Damascene Silk Weaving Tradition Established,1200,Middle East,cultural,r2_cultural
medieval-university-expansion,Medieval University Expansion Across Europe,1200,Western Europe,cultural,r2_cultural
verge-escapement,Verge Escapement Developed,1200,Medieval Europe,timekeeping,r2_tech_chains
breast-wheel-design,Breast Wheel Water Mill Design,1200,Europe,energy,r2_tech_chains
windmill-vertical-axis,Vertical Axis Windmill (post-mill),1200,Netherlands,energy,r2_tech_chains
portolan-chart-development,Portolan Chart Development,1200,Mediterranean,navigation,r2_tech_chains
lance-pike-improvements,Lance and Pike Design,1200,Europe,weapons,r2_tech_chains
harrow-development,Harrow and Soil-Breaking Tools,1200,Europe,agriculture,r2_tech_chains
brick-mortar-improvements,Brick and Mortar Composition,1200,Europe,construction,r2_tech_chains
vault-construction-techniques,Vault Construction Techniques,1200,Europe,construction,r2_tech_chains
potash-production-wood,Potash Production from Wood Ash,1200,Europe,chemistry,r2_tech_chains
somali-zeila-trading-port,Zeila Becomes Major Somali Trading Port,1200,East Africa,economic,r2_africa_pacific
mapungubwe-gold-trade,Mapungubwe Controls Southern African Gold Trade,1200,Southern Africa,economic,r2_africa_pacific
trans-saharan-trade-networks,Trans-Saharan Trade Routes Fully Established,1200,West Africa,economic,r2_africa_pacific
indian-ocean-monsoon-trade,Indian Ocean Monsoon Trade Networks Peak,1200,East Africa,economic,r2_africa_pacific
african-textile-production,African Textile Production and Dyeing Techniques,1200,West Africa,economic,r2_africa_pacific
gold-mining-ghana-asante,Ghana and Asante Gold Mining Operations,1200,West Africa,economic,r2_africa_pacific
tonga-tongan-conquest,Tonga Expands Through Pacific Conquests,1200,Polynesia,military,r2_africa_pacific
hawaiian-chiefdom-formation,Hawaiian Islands Develop Complex Chiefdoms,1200,Polynesia,political,r2_africa_pacific
fiji-kalimata-chiefdoms,Fiji Kalimata Chiefdoms Emerge,1200,Melanesia,political,r2_africa_pacific
nan-madol-city-construction,Nan Madol City Built in Micronesia,1200,Micronesia,architectural,r2_africa_pacific
maori-land-use-customary,Maori Customary Land Use Practices,1200,Polynesia,legal,r2_africa_pacific
tejend-oasis-city,Tejend Oasis City Flourishes,1200,Central Asia,economic,r2_korea_americas
san-lorenzo-olmec,San Lorenzo Olmec Center Peak,1200,Mesoamerica,cultural,r2_korea_americas
pacific-northwest-cedar-houses,Pacific Northwest Cedar House Tradition,1200,North America,architectural,r2_korea_americas
mississippian-trade-network,Mississippian Trade Network Peak,1200,North America,economic,r2_korea_americas
samarkand-conquerors-city,Samarkand Qur'anic School Flourishes,1200,Central Asia,cultural,r2_korea_americas
mixtec-monte-alban,Mixtec Settlement at Monte Alban,1200,Mesoamerica,political,r2_korea_americas
mayapan-league-cities,Mayapan League of Cities Formed,1200,Mesoamerica,political,r2_korea_americas
andean-llama-domestication,Andean Llama Herding System Peak,1200,South America,agricultural,r2_korea_americas
iron-stirrups-africa,Iron Stirrup Adoption in Sub-Saharan Africa,1200,Sub-Saharan Africa,military,r2_paradigm_shifts
mongolian-stirrup-cavalry,Mongol Mounted Cavalry Revolution,1200,Central Asia,military,r2_paradigm_shifts
compass-adoption-navigation,Magnetic Compass Adoption for Navigation,1200,Mediterranean,technology,r2_paradigm_shifts
astrolabe-navigation,Astrolabe Becomes Navigation Standard,1200,Mediterranean,technology,r2_paradigm_shifts
banking-italian-emergence,Italian Banking Systems Emerge,1200,Mediterranean,economic,r2_paradigm_shifts
university-expansion-europe,European University System Expands,1200,Western Europe,education,r2_paradigm_shifts
land-reclamation-netherlands,Dutch Polder Land Reclamation,1200,Netherlands,ecological,r2_paradigm_shifts
monsoon-calendar-refinement,Monsoon Calendar Mastery in Islamic Navigation,1200,Indian Ocean,technology,r2_paradigm_shifts
slash-and-burn-intensive,Slash-and-Burn Agriculture Intensifies,1200,Mesoamerica,agricultural,r2_paradigm_shifts
trade-route-risk-reduction,Trade Route Security Establishes,1200,Eurasia,trade,r2_paradigm_shifts
hospital-of-st-lawrence,Ospedale di Santo Spirito,1204,Italy,institutions,historical_firsts
fourth-crusade-byzantine,Fourth Crusade Sack of Constantinople,1204,Byzantine Empire,military,r2_medieval
mongol-conquest-china,Mongol Conquest of China Begins,1205,China,military,consequence_chain
cambridge-university-founded,Cambridge University Founded,1209,England,intellectual,"consequence_chain, historical_firsts"
notre-dame-reims-built,Notre-Dame de Reims Cathedral Built,1211,France,architectural,r2_cultural
medieval-marriage-reform,Medieval Marriage Law Reform,1215,Western Europe,legal,gap_analysis
magna-carta-issuance,Magna Carta Issuance,1215,Europe,legal,r2_medieval
damietta-crusade-fifth,Fifth Crusade - Damietta Campaign Begins,1218,Eastern Mediterranean,military,r2_medieval
salamanca-university-founded,University of Salamanca Founded,1218,Spain,intellectual,r2_scientific
mongol-conquest-khwarezm,Mongol Conquest of Khwarezm,1219,Central Asia,military,r2_medieval
kamakura-internal-conflicts,Kamakura Internal Power Struggles,1219,Japan,political,r2_medieval
chartres-cathedral-construction,Chartres Cathedral Construction Completed,1220,France,architectural,r2_cultural
padua-university-founded,University of Padua Founded,1222,Italy,intellectual,r2_scientific
tran-dynasty-rule,Tran Dynasty Rules Vietnam,1225,Southeast Asia,political,non_western
chagatai-khanate,Chagatai Khanate Administration,1225,Central Asia,political,r2_medieval
chagatai-khanate-founded,Chagatai Khanate Established,1227,Central Asia,political,r2_korea_americas
hafsid-tunisia-established,Hafsid Dynasty Establishes Tunis as Capital,1229,North Africa,political,r2_africa_pacific
printing-press-korea,Movable Type in Korea,1234,Korea,invention,chronology
mali-empire-establishment,Mali Empire Established,1234,Africa,political,non_western
karakorum-mongol-capital,Karakorum Established as Mongol Capital,1235,Central Asia,political,non_western
goryeo-tripitaka,Goryeo Tripitaka Buddhist Canon Carved,1236,East Asia,religion,non_western
mongol-invasions-europe,Mongol Invasions of Europe,1237,Eastern Europe,military,consequence_chain
sukhothai-kingdom,Sukhothai Kingdom Established,1238,Southeast Asia,political,"gap_analysis, non_western"
mongol-invasion-hungary,Mongol Invasion of Hungary,1241,Eastern Europe,military,r2_medieval
hanse-league-formation,Hanse League Guild Formation,1241,Europe,economic,"r2_medieval, r2_economic, r2_paradigm_shifts"
golden-horde-establishment,Golden Horde Established,1242,Central Asia,political,r2_medieval
chagatai-trade-routes,Chagatai Khanate Trade Route Control,1245,Central Asia,economic,r2_medieval
seventh-crusade,Seventh Crusade Saint Louis,1248,Eastern Mediterranean,military,r2_medieval
cologne-cathedral-begun,Cologne Cathedral Construction Begun,1248,Germany,architectural,r2_cultural
oracle-bones-shang,Oracle Bones of Shang Dynasty,1250,China,scientific,chronology
long-bow-english-development,English Longbow Tactics Develop,1250,England,military,chronology
mayan-post-classic,Mayan Post-Classic Cities,1250,Mesoamerica,political,gap_analysis
maori-settlement-new-zealand,Maori Settlement of New Zealand,1250,Pacific,exploration,non_western
mon-khmer-integration,Mon Khmer Cultural Integration,1250,Southeast Asia,cultural,r2_medieval
pandya-kingdom-expansion,Pandya Kingdom Expansion,1250,India,political,r2_medieval
cloth-merchants-guild,Cloth Merchants Guild Established,1250,Flanders,labor,r2_economic
letters-exchange-banking,Letters of Exchange Banking System,1250,Italy,commercial,r2_economic
mississippian-cahokia-decline,Cahokia Population Decline Begins,1250,North America,social,r2_korea_americas
florin-gold-standard,Florentine Florin Establishes Gold Standard,1252,Italy,monetary,r2_economic
university-paris-sorbonne,University of Paris Sorbonne Founded,1253,France,cultural,r2_cultural
ilkhanate-establishment,Ilkhanate Persia Founded,1256,Central Asia,political,r2_medieval
mongol-conquest-bagdad,Mongol Siege of Baghdad,1258,Central Asia,military,r2_medieval
mongol-postal-system,Mongol Yam Postal System,1260,Central Asia,political,r2_medieval
republic-florence-banking,Florence Banking Republic Development,1260,Europe,economic,r2_medieval
roger-bacon-experimental-method,Roger Bacon Advocates Experimental Method,1260,England,scientific,r2_scientific
palaiologan-revival,Palaiologan Renaissance Learning,1261,Byzantine Empire,cultural,r2_medieval
mongol-administrative-reforms,Mongol Administrative Reforms Yuan Dynasty,1265,East Asia,political,r2_medieval
magna-carta-consequences,Magna Carta Consequences England,1265,Europe,political,r2_medieval
ethiopian-solomonic-dynasty,Ethiopian Solomonic Dynasty Establishes Legitimacy,1270,Africa,political,non_western
pax-mongolica-trade,Pax Mongolica Trade Expansion,1270,Central Asia,economic,r2_medieval
thomas-aquinas-synthesis,Thomas Aquinas Synthesizes Philosophy and Theology,1270,Italy,philosophical,r2_scientific
yuan-khanate-founded,Mongol Yuan Dynasty Established in China,1271,East Asia,political,non_western
mongol-naval-expeditions,Mongol Naval Expeditions Japan Invasion,1274,East Asia,military,r2_medieval
mongol-invasion-japan-first,Mongol Invasion Japan First,1274,Japan,military,r2_medieval
marco-polo-yuan-court,Marco Polo Serves at Yuan Dynasty Court,1275,East Asia,trade,non_western
mongol-khubilai-conquest,Kublai Khan Conquers Song Dynasty China,1279,East Asia,military,non_western
yuan-grand-canal,Yuan Dynasty Grand Canal Maintenance and Development,1280,East Asia,trade,non_western
pasai-sultanate,Pasai Sultanate Sumatra,1280,Southeast Asia,political,non_western
kublai-khan-census,Kublai Khan Census System,1280,East Asia,political,r2_medieval
genoese-trade-network,Genoese Trade Network Expansion,1280,Europe,economic,r2_medieval
ancestral-puebloan-drought,Ancestral Puebloan Southwest Drought,1280,North America,agricultural,r2_korea_americas
mechanical-clock-adoption,Mechanical Clock Adoption in Europe,1280,Western Europe,technology,r2_paradigm_shifts
mongol-invasion-japan-second,Mongol Invasion Japan Second Kamikaze,1281,Japan,military,r2_medieval
sukhothai-thai-script,Sukhothai Thai Script Development,1283,Southeast Asia,language,non_western
venice-gold-coin-standard,Venetian Gold Coin Becomes Trade Standard,1284,Italy,monetary,r2_economic
salt-gabelle-france,French Gabelle Salt Tax Established,1286,France,monetary,r2_economic
wool-merchant-regulations,Regulations on Wool Merchants Established,1290,England,commercial,r2_economic
acre-final-siege,Final Siege of Acre,1291,Eastern Mediterranean,military,r2_medieval
majapahit-empire-founded,Majapahit Empire Established,1293,Southeast Asia,political,non_western
alauddin-khalji-conquest,Alauddin Khalji's Southern Indian Conquests,1295,South Asia,military,non_western
lanna-kingdom,Lanna Kingdom Northern Thailand,1296,Southeast Asia,political,non_western
gunpowder-cannons-develop,Gunpowder Cannons Developed,1300,China,invention,chronology
kerala-spice-trade,Kerala Spice Trade Dominates,1300,South Asia,economic,gap_analysis
bruges-economic-hub,Bruges Becomes Economic Hub,1300,Western Europe,economic,gap_analysis
womens-guilds,Women's Craft Guilds Emerge,1300,Western Europe,social,gap_analysis
sukhothai-pottery,Sukhothai Pottery Arts,1300,Southeast Asia,art,non_western
batak-settlement,Batak Settlement Sumatran Highlands,1300,Southeast Asia,political,non_western
first-trade-union,Journeymens Guild,1300,Germany,economy,historical_firsts
swahili-mombasa-rise,Mombasa Rise Swahili Coast,1300,Africa,economic,r2_medieval
hausa-city-states-rise,Hausa City States Development,1300,Africa,political,r2_medieval
champa-vietnam-conflicts,Champa Vietnam Military Conflicts,1300,Southeast Asia,military,r2_medieval
burmese-kingdom-restoration,Burmese Kingdom Restoration Toungoo,1300,Southeast Asia,political,r2_medieval
mississippian-decline,Mississippian Culture Decline,1300,Americas,political,r2_medieval
ancestral-puebloan-migration,Ancestral Puebloan Great Migration,1300,Americas,cultural,"r2_medieval, r2_korea_americas"
venetian-trade-monopoly,Venetian Trade Monopoly Eastern,1300,Europe,economic,"r2_medieval, r2_paradigm_shifts"
venetian-arsenal,Venetian Arsenal Development,1300,Europe,economic,r2_medieval
bimetallic-standard-attempts,Bimetallic Standard Coin Systems,1300,Europe,monetary,r2_economic
coral-trade-mediterranean,Mediterranean Coral Trade Flourishes,1300,Mediterranean,trade,r2_economic
herring-trade-northern,Northern European Herring Trade,1300,Northern Europe,trade,r2_economic
banking-loans-innovation,Double Entry Bookkeeping and Credit,1300,Italy,commercial,r2_economic
duns-scotus-philosophy,Duns Scotus Develops Philosophical Systems,1300,Scotland,philosophical,r2_scientific
egyptian-sculpture-tradition,Egyptian Sculpture Mastery,1300,Egypt,artistic,r2_cultural
persian-miniature-tradition,Persian Miniature Painting Tradition Established,1300,Persia,artistic,r2_cultural
foliot-balance,Foliot Balance Regulator Invented,1300,Medieval Europe,timekeeping,r2_tech_chains
glass-lens-grinding,Lens Grinding and Shaping Techniques,1300,Italy,optics,r2_tech_chains
scythe-development,Scythe Development and Use,1300,Europe,agriculture,r2_tech_chains
buttress-flying-buttress,Flying Buttress Refinement,1300,Gothic Europe,construction,r2_tech_chains
enamel-development-techniques,Enamel Development and Application,1300,Mediterranean,materials,r2_tech_chains
somali-adal-sultanate,Adal Sultanate Emerges in Somalia,1300,East Africa,political,r2_africa_pacific
mapungubwe-empire-decline,Mapungubwe Empire Declines in Southern Africa,1300,Southern Africa,political,r2_africa_pacific
swahili-ivory-trade,Swahili Coastal Cities Control Ivory Trade,1300,East Africa,economic,r2_africa_pacific
salt-mining-taoudenni,Taoudenni Salt Mining Becomes Major Trade Good,1300,West Africa,economic,r2_africa_pacific
fiji-matamatamatamatamata-structure,Fiji Hierarchical Political Structure Forms,1300,Melanesia,political,r2_africa_pacific
nan-madol-basalt-engineering,Nan Madol Basalt Structures Demonstrate Engineering,1300,Micronesia,architectural,r2_africa_pacific
maori-pa-fortification,Maori Pa Fortifications Become Standard,1300,Polynesia,military,r2_africa_pacific
casa-grande-pueblo,Casa Grande Pueblo Complex Built,1300,North America,architectural,r2_korea_americas
guanahani-settlement,Guanahani Indigenous Population Peak,1300,Caribbean,social,r2_korea_americas
gila-cliff-dwellings,Gila Cliff Dwellings Constructed,1300,North America,architectural,r2_korea_americas
little-ice-age-onset,Little Ice Age Begins,1300,Global,climate,r2_paradigm_shifts
irrigation-abandonment-southwest,Ancestral Puebloan Irrigation Abandonment,1300,North America,ecological,r2_paradigm_shifts
wool-trade-england,Wool Trade Dominates English Economy,1300,England,economic,r2_paradigm_shifts
blast-furnace-innovation,Blast Furnace Innovation in Medieval Europe,1300,Western Europe,technology,r2_paradigm_shifts
debasement-currency-crisis,Currency Debasement Causes Inflation Cycles,1300,Medieval Europe,economic,r2_paradigm_shifts
catalan-grand-company,Catalan Grand Company Byzantine,1302,Europe,military,r2_medieval
giotto-fresco-revolution,Giotto Pioneered Naturalism in Fresco Painting,1305,Italy,artistic,r2_cultural
mali-maritime-expansion,Mali Maritime Expeditions,1310,Africa,maritime,r2_medieval
duccio-painting-innovation,Duccio Creates Maesta Altarpiece,1310,Italy,artistic,r2_cultural
golden-horde-sarai-al-jadid,Golden Horde Capital at Sarai-al-Jadid,1310,Central Asia,architectural,r2_korea_americas
european-famine-1315-1317,Great Famine of 1315-1317,1315,Europe,disaster,consequence_chain
timbuktu-university-development,Timbuktu University of Sankore,1315,Africa,cultural,r2_medieval
banco-sangemini,Sangemini Bank,1318,Italy,economy,historical_firsts
scottish-independence-declaration,Declaration of Arbroath,1320,Scotland,legal,consequence_chain
majapahit-administrative-system,Majapahit Administrative Innovations,1320,Southeast Asia,political,r2_medieval
delhi-sultanate-succession,Delhi Sultanate Succession Disputes,1320,India,political,r2_medieval
bruges-bourse-trading,Bruges Bourse Becomes Major Exchange,1320,Flanders,commercial,r2_economic
william-of-ockham-logic,William of Ockham Develops Logical Philosophy,1320,England,philosophical,r2_scientific
dante-divine-comedy,Dante Writes Divine Comedy,1320,Italy,literary,r2_cultural
aztec-tenochtitlan-founding,Aztec Tenochtitlan Founding,1325,Americas,political,r2_medieval
petrarch-humanist-movement,Petrarch Develops Humanist Movement,1330,Italy,intellectual,consequence_chain
muhammad-bin-tughlaq-reforms,Muhammad bin Tughlaq's Administrative Reforms,1330,South Asia,political,non_western
majapahit-expansion,Majapahit Maritime Expansion,1330,Southeast Asia,political,non_western
simone-martini-painting,Simone Martini Develops Sienese Painting Style,1330,Italy,artistic,r2_cultural
kilwa-khilafa-sultanate,Kilwa Sultanate Becomes Dominant Swahili Power,1330,East Africa,political,r2_africa_pacific
alhambra-palace-built,Alhambra Palace Built,1333,Spain,architectural,chronology
vijayanagara-empire,Vijayanagara Empire Established,1336,South Asia,political,gap_analysis
muromachi-period,Muromachi Period Begins,1336,East Asia,political,gap_analysis
mali-civil-war,Mali Civil War After Musa,1337,Africa,military,r2_medieval
ashikaga-shogunate,Ashikaga Shogunate Established,1338,East Asia,political,non_western
petrarch-humanism,Petrarch Develops Humanism,1340,Italy,intellectual,consequence_chain
delhi-provincial-administration,Delhi Sultanate Provincial Administration,1340,India,political,r2_medieval
aztec-rise,Aztec Empire Rise,1345,Mesoamerica,political,gap_analysis
plague-rats-ships,Plague-Infected Rats in Mediterranean Trade,1347,Mediterranean,disease,r2_paradigm_shifts
plague-medieval-waves,Medieval Plague Waves Hit Europe Repeatedly,1347,Western Europe,disease,r2_paradigm_shifts
jewish-scapegoating-plague,Jewish Persecution During Plague,1348,Europe,social,consequence_chain
black-death-demographic,Black Death Demographic Collapse,1348,Global,demographic,r2_paradigm_shifts
medici-banking,Medici Banking Family Rise,1350,Western Europe,economic,gap_analysis
insurance-origins,Marine Insurance Develops,1350,Western Europe,economic,gap_analysis
italian-renaissance-begins,Italian Renaissance Begins,1350,Italy,cultural,consequence_chain
swahili-kilwa-sultanate,Kilwa Sultanate Swahili Peak,1350,Africa,political,r2_medieval
majapahit-maritime-trade,Majapahit Maritime Trade Network,1350,Southeast Asia,economic,r2_medieval
vijayanagara-hindu-restoration,Vijayanagara Hindu Restoration,1350,India,religious,r2_medieval
bukhara-cultural-center,Bukhara Educational Center Development,1350,Central Asia,cultural,r2_medieval
chimú-chan-chan-peak,Chan Chan Urban Development,1350,Americas,architectural,r2_medieval
hanse-trades-monopoly,Hanseatic League Controls Baltic Trade,1350,Northern Europe,trade,r2_economic
dyer-guild-regulations,Guild Regulations on Dye Quality,1350,Europe,labor,r2_economic
apprenticeship-system-codification,Apprenticeship System Legally Codified,1350,Europe,labor,r2_economic
genovese-banking-families,Genoese Banking Families Rise to Power,1350,Italy,commercial,r2_economic
insurance-maritime-contracts,Maritime Insurance Contracts Begin,1350,Italy,commercial,r2_economic
monopoly-privileges-medieval,Royal Trade Monopoly Privileges Granted,1350,Europe,commercial,r2_economic
sumptuary-laws-fashion,Sumptuary Laws Regulate Medieval Fashion,1350,Western Europe,cultural,r2_cultural
benin-edo-palace-system,Benin Edo Kingdom Palace Government System,1350,West Africa,political,r2_africa_pacific
wolof-empire-formation,Wolof Empire Unites Senegal Region,1350,West Africa,political,r2_africa_pacific
kilwa-gold-monopoly,Kilwa Controls East African Gold Trade,1350,East Africa,economic,r2_africa_pacific
chimu-irrigation-expansion,Chimú Irrigation System Peak,1350,South America,agricultural,r2_korea_americas
black-death-labor-shortage,Black Death Labor Shortage Transforms Europe,1350,Western Europe,social,r2_paradigm_shifts
labor-shortage-drives-wages,Labor Shortage Drives Wage Inflation,1350,Western Europe,economic,r2_paradigm_shifts
peasant-revolts-increase,Peasant Revolts Surge in Medieval Europe,1350,Western Europe,social,r2_paradigm_shifts
ayutthaya-founded,Ayutthaya Kingdom Founded,1351,Southeast Asia,political,gap_analysis
boccaccio-decameron,Boccaccio Writes Decameron,1353,Italy,literary,r2_cultural
lannathai-unification,Lannathai Kingdom Unified Territory,1355,Southeast Asia,political,non_western
wool-staple-monopoly,English Wool Staple Monopoly Begins,1355,England,commercial,r2_economic
insurance-contract,Marine Insurance,1363,Italy,economy,historical_firsts
majapahit-empire,Majapahit Empire Peak,1365,Southeast Asia,political,gap_analysis
ottoman-standing-army,Janissary Corps,1365,Ottoman Empire,military,historical_firsts
brunei-sultanate,Brunei Sultanate Established,1368,Southeast Asia,political,"gap_analysis, non_western"
porcelain-trade-ming,Ming Dynasty Porcelain Trade Begins,1368,China,trade,r2_economic
timur-tamerlane-conqueror,Timur (Tamerlane) Begins Conquests,1369,Central Asia,military,non_western
ashikaga-cultural-patronage,Ashikaga Cultural Patronage Kyoto,1370,Japan,cultural,r2_medieval
samarkand-library-school,Samarkand Library and Schools,1370,Central Asia,cultural,r2_medieval
letter-of-credit-development,Letter of Credit Financial System,1370,Europe,economic,r2_medieval
hanseatic-league-dominance,Hanseatic League Trade Dominance,1370,Europe,economic,r2_medieval
quarantine-origins,Origins of Quarantine,1377,Venice,medical,consequence_chain
jikji-korea-printing,Jikji: Korean Metal Movable Type,1377,Korea,invention,consequence_chain
ragusa-quarantine,Quarantine in Ragusa,1377,Croatia,law,historical_firsts
timur-empire-samarkand,Timur Establishes Empire with Capital at Samarkand,1380,Central Asia,political,non_western
muromachi-noh-theater,Noh Theater Development Muromachi,1380,Japan,artistic,r2_medieval
timur-architectural-patronage,Timur Architectural Patronage,1380,Central Asia,architectural,r2_medieval
lollards-wycliffe,Lollard Movement John Wycliffe,1380,Europe,religious,r2_medieval
noh-theater-emergence,Noh Theater Tradition Emerges in Japan,1380,Japan,theatrical,r2_cultural
peasants-revolt-1381,Peasants' Revolt,1381,England,social,consequence_chain
heidelberg-university,University of Heidelberg Founded,1386,Germany,cultural,r2_cultural
kongo-kingdom-founded,Kongo Kingdom Established,1390,Africa,political,non_western
